id;screen_name;created_at;fav;rt;text;media1;media2;media3;media4;compound;neg;neu;pos
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1652099833413468164"", ""1652099833413468164"")";petrogustavo;28/04/2023;3674;1265;En el foro de los fondos privados de pensiones en Cartagena. https://t.co/42yDL8yiIQ;"=HYPERLINK(""http://pbs.twimg.com/media/Fu1v8iwWAAQl6uR.jpg"", ""http://pbs.twimg.com/media/Fu1v8iwWAAQl6uR.jpg"")";;;;0;0;10;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1652069898162429952"", ""1652069898162429952"")";petrogustavo;28/04/2023;10126;5439;La prensa cuando el administrador es de derechas y la prensa cuando el administrador es de izquierdas https://t.co/A3l4YF7xeT;;;;;0;0;10;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1652069314608996352"", ""1652069314608996352"")";petrogustavo;28/04/2023;12913;4575;Hemos dado un salto en la industria aeronáutica nacional al pasar a construir piezas para drones y aviones de alta tecnología en el acuerdo con Airbus. Lo firmaré en España. https://t.co/N5RaFQzbNP;"=HYPERLINK(""http://pbs.twimg.com/media/Fu1USJBX0AwmmlG.jpg"", ""http://pbs.twimg.com/media/Fu1USJBX0AwmmlG.jpg"")";;;;0;0;10;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1652068626923499520"", ""1652068626923499520"")";petrogustavo;28/04/2023;1251;495;Olmedo es miltante del Polo Democrático incluso cuando el MOIR lo dirigía. https://t.co/HCvHROHgGn;;;;;0;0;10;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1652049240846114816"", ""1652049240846114816"")";petrogustavo;28/04/2023;4925;2172;En Tibú la policía incauta cuatro toneladas y media de cocaína. La interdicción avanza. https://t.co/uDawY30378;;;;;0;0;10;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1652044601245442066"", ""1652044601245442066"")";petrogustavo;28/04/2023;1948;917;Hay tiempos menores en la ley de desastre natural y la ley permite procesos judiciales posteriores con indemnización si se cometen arbitrariedades. Las zonas de reforma agraria deben ser delimitadas y solo se actúa sobre grandes latifundios con tierras fértiles improductivas https://t.co/lSQ73nzAv2;;;;;3612;0;94;6
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1652039282112995365"", ""1652039282112995365"")";petrogustavo;28/04/2023;1800;635;Nosotros queremos reemplazar la expropiación con  enta onligatoria a precio comercial y mantener la compra voluntaria.;;;;;0;0;10;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1652039279621668866"", ""1652039279621668866"")";petrogustavo;28/04/2023;3852;1559;Con venta voluntaria jamás se logrará ni un camino, ni una autopista, ni el metro de Bogota ni el cumplimiento de la constitución en el acceso de los trabajadores agrarios a la propiedad de la tierra. Por eso hay dos mecanismos en la ley: compra voluntaria y expropiación https://t.co/QDtAnu6zLp;;;;;0;0;10;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1652030838341619712"", ""1652030838341619712"")";petrogustavo;28/04/2023;19650;12016;"Este es el mayor éxito económico de un gobierno desde el año 2018.

Bajamos el desempleo al 10% y elevamos al 57% la tasa de ocupación laboral: las más baja de desempleo y la más alta de ocupación laboral desde el 2018.

Dale un RT a esta comunicación. No saldrá mucho en TV. https://t.co/HJvfVleybs";"=HYPERLINK(""http://pbs.twimg.com/media/Fu0xSiWWIAsyZ0-.jpg"", ""http://pbs.twimg.com/media/Fu0xSiWWIAsyZ0-.jpg"")";;;;-296;42;958;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1652029416292204546"", ""1652029416292204546"")";petrogustavo;28/04/2023;195;92;"@EspinosaRadio para tu conocimiento: la ley 160 de 1994 vigente en su articulo 33 ordena: o la compra es voluntaria o se hace expropiación.

Nosotros proponemos venta voluntaria o forzosa con pago a precio comercial. ¿Nos quedamos con la ley vigente? https://t.co/glZ4tG9xCb";;;;;0;0;10;0
